Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,734232,-,-,-,29.77,-95.38,-6,15,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2016,1,1,0,0,0,0,0,0,0,0,8,8,171.29,0,0.132,2.3000000000000003,3.228,14.8,94.68,9,1020.0
2016,1,1,0,30,0,0,0,0,0,0,8,8,173.16,0,0.132,2.4000000000000004,3.1790000000000003,14.8,100.0,8,1020.0
2016,1,1,1,0,0,0,0,0,0,0,8,7,169.63,0,0.132,2.5,3.1310000000000002,10.8,98.93,8,1020.0
2016,1,1,1,30,0,0,0,0,0,0,8,7,163.93,0,0.132,2.5,3.082,10.8,98.94,8,1020.0
2016,1,1,2,0,0,0,0,0,0,0,8,7,157.68,0,0.132,2.6,3.033,9.200000000000001,96.06,8,1020.0
2016,1,1,2,30,0,0,0,0,0,0,4,7,151.25,0,0.132,2.7,2.98,9.200000000000001,96.06,8,1020.0
2016,1,1,3,0,0,0,0,0,0,0,8,6,144.76,0,0.132,2.8000000000000003,2.928,8.3,92.69,8,1020.0
2016,1,1,3,30,0,0,0,0,0,0,8,6,138.25,0,0.132,2.9000000000000004,2.866,8.3,99.21000000000001,7,1020.0
2016,1,1,4,0,0,0,0,0,0,0,8,6,131.76,0,0.132,3.1,2.805,12.700000000000001,93.59,7,1020.0
2016,1,1,4,30,0,0,0,0,0,0,8,6,125.3,0,0.132,3.0,2.7760000000000002,12.700000000000001,93.60000000000001,7,1020.0
2016,1,1,5,0,0,0,0,0,0,0,8,5,118.89,0,0.132,2.9000000000000004,2.747,12.0,89.47,7,1020.0
2016,1,1,5,30,0,0,0,0,0,0,4,5,112.55,0,0.132,2.8000000000000003,2.744,12.0,89.5,7,1020.0
2016,1,1,6,0,0,0,0,0,0,0,8,5,106.29,0,0.132,2.7,2.741,9.3,87.15,7,1020.0
2016,1,1,6,30,0,0,0,0,0,0,8,5,100.15,0,0.132,2.7,2.747,9.3,93.38,7,1020.0
2016,1,1,7,0,0,0,0,0,0,0,8,4,94.13,0,0.132,2.7,2.753,8.4,92.15,7,1020.0
2016,1,1,7,30,16,0,16,14,95,16,8,4,88.28,4,0.132,2.8000000000000003,2.763,8.4,92.2,7,1020.0
2016,1,1,8,0,43,338,86,43,338,86,8,4,82.64,4,0.132,3.0,2.773,9.4,84.3,7,1020.0
2016,1,1,8,30,63,503,174,63,503,174,1,4,77.25,0,0.132,3.2,2.79,9.4,84.33,7,1020.0
2016,1,1,9,0,44,0,44,77,612,264,8,3,72.16,0,0.132,3.4000000000000004,2.807,19.5,80.25,7,1020.0
2016,1,1,9,30,126,0,126,87,684,349,8,3,67.46000000000001,0,0.132,3.3000000000000003,2.823,19.5,80.26,7,1020.0
2016,1,1,10,0,99,0,99,93,741,427,8,3,63.22,0,0.132,3.2,2.84,24.1,71.71000000000001,8,1020.0
2016,1,1,10,30,229,155,308,98,776,492,8,3,59.56,0,0.132,3.0,2.849,24.1,71.7,8,1020.0
2016,1,1,11,0,177,2,179,102,802,544,4,2,56.58,0,0.132,2.9000000000000004,2.859,20.5,70.26,8,1020.0
2016,1,1,11,30,110,0,110,105,818,581,8,2,54.4,0,0.132,2.8000000000000003,2.859,20.5,70.24,8,1020.0
