Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,734232,-,-,-,29.77,-95.38,-6,15,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2008,1,1,0,0,0,0,0,0,0,0,0,0,171.29,0,0.135,2.8000000000000003,0.6950000000000001,4.5,67.88,6,1020.0
2008,1,1,0,30,0,0,0,0,0,0,0,0,173.17000000000002,0,0.135,2.7,0.6950000000000001,4.5,72.79,6,1020.0
2008,1,1,1,0,0,0,0,0,0,0,0,0,169.63,0,0.135,2.7,0.6960000000000001,5.4,70.41,6,1020.0
2008,1,1,1,30,0,0,0,0,0,0,0,0,163.93,0,0.135,2.6,0.7000000000000001,5.4,70.44,5,1020.0
2008,1,1,2,0,0,0,0,0,0,0,0,0,157.68,0,0.135,2.6,0.704,6.0,69.64,5,1020.0
2008,1,1,2,30,0,0,0,0,0,0,1,0,151.25,0,0.135,2.5,0.707,6.0,74.71000000000001,4,1020.0
2008,1,1,3,0,0,0,0,0,0,0,0,0,144.76,0,0.135,2.5,0.71,5.800000000000001,74.38,4,1020.0
2008,1,1,3,30,0,0,0,0,0,0,0,0,138.25,0,0.135,2.4000000000000004,0.71,5.800000000000001,74.42,4,1030.0
2008,1,1,4,0,0,0,0,0,0,0,0,0,131.76,0,0.135,2.4000000000000004,0.71,4.6000000000000005,73.79,4,1030.0
2008,1,1,4,30,0,0,0,0,0,0,4,0,125.3,0,0.135,2.3000000000000003,0.7030000000000001,4.6000000000000005,79.21000000000001,3,1030.0
2008,1,1,5,0,0,0,0,0,0,0,0,0,118.89,0,0.135,2.3000000000000003,0.6970000000000001,3.2,78.38,3,1030.0
2008,1,1,5,30,0,0,0,0,0,0,7,0,112.55,0,0.135,2.2,0.683,3.2,78.43,3,1030.0
2008,1,1,6,0,0,0,0,0,0,0,4,0,106.29,0,0.135,2.2,0.67,2.2,77.26,3,1030.0
2008,1,1,6,30,0,0,0,0,0,0,4,0,100.15,0,0.135,2.2,0.648,2.2,83.0,2,1030.0
2008,1,1,7,0,0,0,0,0,0,0,0,0,94.13,0,0.135,2.2,0.627,1.3,81.76,2,1030.0
2008,1,1,7,30,14,239,21,14,239,21,0,0,88.28,0,0.135,2.4000000000000004,0.602,1.3,76.19,3,1030.0
2008,1,1,8,0,45,174,67,34,554,105,3,0,82.64,0,0.135,2.7,0.577,359.90000000000003,70.77,4,1030.0
2008,1,1,8,30,46,713,204,46,713,204,0,0,77.25,0,0.135,3.0,0.55,359.90000000000003,66.02,5,1030.0
2008,1,1,9,0,53,820,304,53,820,304,0,-2,72.16,0,0.135,3.3000000000000003,0.524,11.3,51.56,7,1030.0
2008,1,1,9,30,59,883,397,59,883,397,0,-2,67.46000000000001,0,0.135,3.5,0.502,11.3,48.17,8,1030.0
2008,1,1,10,0,63,928,481,63,928,481,0,-4,63.230000000000004,0,0.135,3.7,0.48,11.5,39.5,9,1030.0
2008,1,1,10,30,66,958,552,66,958,552,0,-4,59.57,0,0.135,3.7,0.465,11.5,36.93,10,1030.0
2008,1,1,11,0,68,980,608,68,980,608,0,-4,56.59,0,0.135,3.7,0.452,3.9000000000000004,33.75,11,1030.0
2008,1,1,11,30,70,994,648,70,994,648,0,-4,54.4,0,0.135,3.8000000000000003,0.442,3.9000000000000004,33.74,11,1030.0
2008,1,1,12,0,73,997,672,73,997,672,0,-4,53.11,0,0.135,3.9000000000000004,0.432,357.1,34.02,12,1030.0
2008,1,1,12,30,73,1000,678,73,1000,678,0,-4,52.78,0,0.135,3.9000000000000004,0.423,357.1,34.01,12,1030.0
2008,1,1,13,0,71,1000,667,71,1000,667,0,-4,53.44,0,0.135,4.0,0.41400000000000003,354.40000000000003,32.18,12,1030.0
2008,1,1,13,30,70,992,639,70,992,639,0,-4,55.03,0,0.135,4.0,0.405,354.40000000000003,32.18,12,1030.0
2008,1,1,14,0,68,979,594,68,979,594,0,-4,57.49,0,0.135,4.0,0.397,353.8,32.34,12,1030.0
2008,1,1,14,30,65,957,533,65,957,533,0,-4,60.71,0,0.135,3.9000000000000004,0.394,353.8,34.550000000000004,11,1030.0
2008,1,1,15,0,59,930,459,59,930,459,0,-4,64.58,0,0.135,3.9000000000000004,0.392,353.70000000000005,34.45,11,1030.0
2008,1,1,15,30,55,884,372,55,884,372,0,-4,68.98,0,0.135,3.5,0.392,353.70000000000005,36.82,10,1030.0
2008,1,1,16,0,48,817,276,48,817,276,0,-3,73.82000000000001,0,0.135,3.2,0.392,354.90000000000003,37.7,10,1030.0
2008,1,1,16,30,40,711,175,40,711,175,0,-3,79.01,0,0.135,2.4000000000000004,0.39,354.90000000000003,43.14,8,1030.0
2008,1,1,17,0,26,527,77,26,527,77,0,-2,84.49,0,0.135,1.7000000000000002,0.388,356.70000000000005,56.410000000000004,6,1030.0
2008,1,1,17,30,0,0,0,0,0,0,0,-2,90.21000000000001,0,0.135,1.6,0.385,356.70000000000005,60.480000000000004,5,1030.0
2008,1,1,18,0,0,0,0,0,0,0,0,-1,96.12,0,0.135,1.6,0.383,358.3,61.86,5,1030.0
2008,1,1,18,30,0,0,0,0,0,0,0,-1,102.18,0,0.135,1.6,0.379,358.3,66.36,4,1030.0
2008,1,1,19,0,0,0,0,0,0,0,0,-1,108.36,0,0.135,1.6,0.376,359.0,66.02,4,1030.0
2008,1,1,19,30,0,0,0,0,0,0,0,-1,114.65,0,0.135,1.6,0.37,359.0,70.86,3,1030.0
2008,1,1,20,0,0,0,0,0,0,0,0,-1,121.02,0,0.135,1.7000000000000002,0.364,0.4,70.32000000000001,3,1030.0
2008,1,1,20,30,0,0,0,0,0,0,0,-1,127.44,0,0.135,1.7000000000000002,0.357,0.4,70.34,3,1030.0
2008,1,1,21,0,0,0,0,0,0,0,0,-1,133.92000000000002,0,0.135,1.7000000000000002,0.35100000000000003,0.9,69.83,3,1030.0
2008,1,1,21,30,0,0,0,0,0,0,0,-1,140.42000000000002,0,0.135,1.6,0.34500000000000003,0.9,74.99,2,1030.0
2008,1,1,22,0,0,0,0,0,0,0,0,-1,146.92000000000002,0,0.135,1.5,0.34,358.90000000000003,74.89,2,1030.0
2008,1,1,22,30,0,0,0,0,0,0,0,-1,153.4,0,0.135,1.5,0.333,358.90000000000003,80.47,1,1030.0
2008,1,1,23,0,0,0,0,0,0,0,0,-2,159.78,0,0.135,1.5,0.327,358.8,79.31,1,1040.0
2008,1,1,23,30,0,0,0,0,0,0,0,-2,165.9,0,0.135,1.4000000000000001,0.32,358.8,79.32000000000001,1,1040.0
2008,1,2,0,0,0,0,0,0,0,0,0,-2,171.16,0,0.135,1.4000000000000001,0.313,357.40000000000003,77.3,1,1040.0
2008,1,2,0,30,0,0,0,0,0,0,0,-2,173.1,0,0.135,1.3,0.31,357.40000000000003,83.10000000000001,0,1040.0
2008,1,2,1,0,0,0,0,0,0,0,0,-2,169.65,0,0.135,1.3,0.307,354.3,80.61,0,1040.0
2008,1,2,1,30,0,0,0,0,0,0,0,-2,163.99,0,0.135,1.2000000000000002,0.308,354.3,80.61,0,1040.0
2008,1,2,2,0,0,0,0,0,0,0,0,-3,157.75,0,0.135,1.2000000000000002,0.31,349.8,78.33,0,1040.0
2008,1,2,2,30,0,0,0,0,0,0,0,-3,151.33,0,0.135,1.2000000000000002,0.316,349.8,78.33,0,1040.0
2008,1,2,3,0,0,0,0,0,0,0,0,-3,144.83,0,0.135,1.2000000000000002,0.323,347.3,76.79,0,1040.0
2008,1,2,3,30,0,0,0,0,0,0,0,-3,138.33,0,0.135,1.2000000000000002,0.331,347.3,76.79,0,1040.0
2008,1,2,4,0,0,0,0,0,0,0,0,-3,131.83,0,0.135,1.3,0.339,347.8,81.12,-1,1040.0
2008,1,2,4,30,0,0,0,0,0,0,0,-3,125.37,0,0.135,1.2000000000000002,0.34400000000000003,347.8,81.12,-1,1040.0
2008,1,2,5,0,0,0,0,0,0,0,0,-4,118.96000000000001,0,0.135,1.2000000000000002,0.35000000000000003,348.3,79.81,-1,1040.0
2008,1,2,5,30,0,0,0,0,0,0,0,-4,112.61,0,0.135,1.2000000000000002,0.35100000000000003,348.3,79.82000000000001,-1,1040.0
2008,1,2,6,0,0,0,0,0,0,0,0,-4,106.35000000000001,0,0.135,1.2000000000000002,0.353,347.20000000000005,84.67,-2,1040.0
2008,1,2,6,30,0,0,0,0,0,0,0,-4,100.2,0,0.135,1.3,0.353,347.20000000000005,78.7,-1,1040.0
2008,1,2,7,0,0,0,0,0,0,0,0,-4,94.18,0,0.135,1.5,0.354,345.8,78.54,-1,1040.0
2008,1,2,7,30,14,266,21,14,266,21,0,-4,88.33,0,0.135,1.9000000000000001,0.355,345.8,73.04,0,1040.0
2008,1,2,8,0,34,575,108,34,575,108,0,-4,82.68,0,0.135,2.4000000000000004,0.357,344.3,73.24,0,1040.0
2008,1,2,8,30,47,731,208,47,731,208,0,-4,77.28,0,0.135,2.7,0.359,344.3,68.15,1,1040.0
2008,1,2,9,0,55,829,309,55,829,309,0,-5,72.18,0,0.135,3.1,0.361,354.6,51.84,3,1040.0
2008,1,2,9,30,61,890,403,61,890,403,0,-5,67.47,0,0.135,3.4000000000000004,0.363,354.6,48.32,4,1040.0
2008,1,2,10,0,65,933,486,65,933,486,0,-6,63.22,0,0.135,3.8000000000000003,0.366,356.6,41.910000000000004,5,1040.0
2008,1,2,10,30,69,962,557,69,962,557,0,-6,59.54,0,0.135,3.9000000000000004,0.371,356.6,39.09,6,1040.0
2008,1,2,11,0,71,982,613,71,982,613,0,-6,56.550000000000004,0,0.135,4.0,0.377,353.5,36.72,7,1040.0
2008,1,2,11,30,73,995,653,73,995,653,0,-6,54.35,0,0.135,4.0,0.383,353.5,36.69,7,1040.0
2008,1,2,12,0,76,997,675,76,997,675,0,-6,53.04,0,0.135,4.0,0.39,352.3,37.410000000000004,8,1040.0
2008,1,2,12,30,76,998,681,76,998,681,0,-6,52.7,0,0.135,3.9000000000000004,0.396,352.3,37.39,8,1040.0
2008,1,2,13,0,74,998,670,74,998,670,0,-6,53.33,0,0.135,3.9000000000000004,0.402,353.3,35.43,8,1040.0
2008,1,2,13,30,72,989,641,72,989,641,0,-6,54.92,0,0.135,3.7,0.406,353.3,35.42,8,1040.0
2008,1,2,14,0,69,976,596,69,976,596,0,-6,57.370000000000005,0,0.135,3.6,0.41000000000000003,356.20000000000005,35.5,8,1040.0
2008,1,2,14,30,67,953,535,67,953,535,0,-6,60.58,0,0.135,3.5,0.41300000000000003,356.20000000000005,35.5,8,1030.0
2008,1,2,15,0,65,818,418,67,910,459,7,-6,64.44,0,0.135,3.4000000000000004,0.41600000000000004,359.3,35.44,8,1030.0
2008,1,2,15,30,113,468,282,61,862,373,8,-6,68.84,0,0.135,2.9000000000000004,0.417,359.3,37.93,7,1030.0
2008,1,2,16,0,53,795,277,53,795,277,0,-5,73.68,0,0.135,2.5,0.419,1.0,42.64,7,1030.0
2008,1,2,16,30,47,525,148,44,686,176,7,-5,78.87,0,0.135,1.8,0.42,1.0,49.0,5,1030.0
2008,1,2,17,0,32,342,66,29,498,78,7,-3,84.35000000000001,4,0.135,1.2000000000000002,0.422,2.9000000000000004,63.33,3,1030.0
2008,1,2,17,30,0,0,0,0,0,0,7,-3,90.07000000000001,0,0.135,1.2000000000000002,0.423,2.9000000000000004,68.0,2,1040.0
2008,1,2,18,0,0,0,0,0,0,0,7,-3,95.98,0,0.135,1.2000000000000002,0.424,7.300000000000001,73.44,1,1040.0
2008,1,2,18,30,0,0,0,0,0,0,0,-3,102.04,0,0.135,1.2000000000000002,0.425,7.300000000000001,73.45,1,1040.0
2008,1,2,19,0,0,0,0,0,0,0,0,-3,108.23,0,0.135,1.2000000000000002,0.426,12.5,72.63,1,1040.0
2008,1,2,19,30,0,0,0,0,0,0,4,-3,114.52,0,0.135,1.2000000000000002,0.428,12.5,78.07000000000001,0,1040.0
2008,1,2,20,0,0,0,0,0,0,0,0,-3,120.88,0,0.135,1.2000000000000002,0.43,18.0,77.51,0,1040.0
2008,1,2,20,30,0,0,0,0,0,0,4,-3,127.31,0,0.135,1.2000000000000002,0.434,18.0,77.51,0,1040.0
2008,1,2,21,0,0,0,0,0,0,0,0,-3,133.79,0,0.135,1.2000000000000002,0.438,21.5,77.67,0,1040.0
2008,1,2,21,30,0,0,0,0,0,0,0,-3,140.29,0,0.135,1.1,0.439,21.5,77.68,0,1040.0
2008,1,2,22,0,0,0,0,0,0,0,1,-3,146.79,0,0.135,1.1,0.441,24.1,77.18,0,1040.0
